Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
106,3,0,3,0,1,"""<user> having one loyal female is way better than having hoes , idc &<hashtag>"
107,3,0,3,0,1,"""<user> Pussy licking pussy.... meow meow <hashtag> &<hashtag> <url>

&<hashtag>"
108,3,0,3,0,1,"""<user> Check out our 12th man. <hashtag> even with all those faggot ny fans in the stands"
109,3,0,3,0,1,"""<user> What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
110,3,0,3,0,1,"""<user> <user> im the bitch okay nudes pat &<hashtag> wow"
111,3,3,0,0,0,"""<user> <user> you're fucking gay, blacklisted hoe"" Holding out for <hashtag> anyway <url>"
112,3,0,3,0,1,"""<user> The fuck be wrong with these bitches?"" Nobody knows"
113,3,0,3,0,1,"""<user> Yall shut up<emoticon>"" make me bitch"
114,3,1,2,0,1,"""<user> I hate a ""I'm pregnant"" type of bitch."""
115,3,0,3,0,1,"""<user> Got bitches in the DM but I don't ever read'em"" which is y your top <number>"
116,3,0,0,3,2,"""<user> Baseball season for the win. <hashtag> This is where the love started"
117,3,0,3,0,1,"""<user> Little stupid as bitch I don't fuck with you.."""
118,3,0,3,0,1,"""<user> she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
119,3,0,0,3,2,"""<user> I'm an early bird and I'm a night owl, so I'm wise and have worms."""
120,3,0,1,2,2,"""<user> Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
121,3,0,0,3,2,"""<user> Pit Bulls Photographed As Lovely Fairy Tale Creatures <url>

They *are* fairy tale creatures."
122,3,0,3,0,1,"""<user> <user> Aw."" ...fag, don't tweet ""aw"" to me lol"
123,3,0,0,3,2,"""<user> As long as the Lakers trash from now on, I could careless. And that's real."". CC: <user> hahaha"
124,3,0,3,0,1,"""<user> <user> I didn't say anything tho"" kiss me then faggot"
125,3,0,0,3,2,"""<user> this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut <url> &<hashtag> yup"
126,3,0,3,0,1,"""<user> I could go for a fat ass bitch on my lap"" same"
127,3,0,3,0,1,"""<user> <number> missed calls!!!! &<hashtag> yo P.O bitch twitter finna be screamn <hashtag>"
128,6,0,6,0,1,"""<user> Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &<hashtag>"
129,3,0,3,0,1,"""<user> &<hashtag> <number> | Amo los pies <url> fuck yeah"
130,3,0,3,0,1,"""<user> These hoes be thinking Meat won't slap they ass &<hashtag> ainna bruh"
131,3,0,3,0,1,"""<user> Yall bitches wit no edges be doing the most talking &<hashtag>"
132,3,0,3,0,1,"""<user> Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
133,3,0,3,0,1,"""<user> I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
134,6,0,6,0,1,"""<user> If she kiss u with her eyes open watch that bitch!""lmfao"
135,3,0,3,0,1,"""<user> You a woulda coulda shoulda ass hoe &<hashtag>"
136,3,0,3,0,1,"""<user> Happy Bday Bitch Ass Nigga <user> that bitch roll up!"
137,3,0,3,0,1,"""<user> <user> <user> used to send that bitch up"""
138,6,0,6,0,1,"""<user> Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&<hashtag>"
139,3,1,2,0,1,"""<user> <user> nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
141,3,1,2,0,1,"""<user> Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
142,3,0,1,2,2,"""<user> This isn't ghetto.....it's smart <url> I'm doing this idc"
143,3,0,2,1,1,"""<user> I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
144,3,0,3,0,1,"""<user> Being single isn't an excuse to be a hoe."" <user>"
145,3,1,2,0,1,"""<user> White boy power bitch"" black power bitch"
146,3,0,3,0,1,"""<user> Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
147,3,0,3,0,1,"""<user> <user> bitch where u been"" Around the world and back. Where you been?"
148,3,0,3,0,1,"""<user> <user> if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &<hashtag> *by <user> *"
149,3,0,2,1,1,"""<user> <hashtag> is so cute. But he probably has hoes on him a lot."""
150,3,0,3,0,1,"""<user> In every cartoon theirs alway a <user> saving these hoes lmao. <url> lmao damn captain SaveAHoe"
151,3,0,1,2,2,"""<user> Who wants to get there nose in these bad bois then <hashtag> <hashtag> <hashtag> <hashtag> <url> hot sox and legs"
152,3,0,3,0,1,"""<user> I wish I was a bitch like my brother keezy &<hashtag> ow I bet you do"
153,6,0,6,0,1,"""<user> If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
154,4,0,4,0,1,"""<user> Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" <user> get on it Katie&lt;<number>"
155,3,0,3,0,1,"""<user> stop being scared to choke her during sex u bitch ass niggas. She&<hashtag> like it."". Says the guy who hits women out of bed. FOH"
156,3,0,3,0,1,"""<user> <user> ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
157,6,0,6,0,1,"""<user> <user> Oh man.. ""its <number> am, you off a molly, ho where the fuck ya seed at??"""" <hashtag>"
158,3,0,3,0,1,"""<user> You're not a man if you refer to every girl as a bitch"""
159,3,0,3,0,1,"""<user> Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
160,3,0,1,2,2,"""<user> Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ow who tf said that trash!!?"
161,3,0,2,1,1,"""<user> <user> io io alu record ho vine sai pe hahahaha"" lol anyways..... haha"
162,3,0,3,0,1,"""<user> <user> naw it's my old tape. new cover . my upcoming mixtape is <hashtag> Yeah I'm waiting on that hoe Mayne!"
163,3,0,3,0,1,"""<user> Ol dirty foot ass bitches.."" this was too funny to me."
164,3,0,3,0,1,"""<user> <user> that's where I get my yellow flags for being amazing &<hashtag> HELL YEAH NIGGY"
165,3,0,3,0,1,"""<user> Don't got time for bitches to be actin iffy."""
166,3,0,0,3,2,"""<user> <hashtag> come on stay alive knights nation!!!!"" This is still the early bird special. <hashtag>"
167,3,0,2,1,1,"""<user> These hoes ain't loyal ; no they ain't <url>

Smfh &amp; wonder why nobody decent wants them"
168,3,0,3,0,1,"""<user> Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
169,3,0,3,0,1,"""<user> dry pussy bitches always blame it on the condom&<hashtag>"
170,3,0,3,0,1,"""<user> shut yo bitch ass up! <url> &<hashtag>"
171,3,0,3,0,1,"""<user> Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
172,3,0,3,0,1,"""<user> You love these hoes more then money wats wrong these niggas"""
173,6,0,6,0,1,"""<user> A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
174,3,0,3,0,1,"""<user> Easy cum, easy hoe"" That's a fact !"
175,3,0,3,0,1,"""<user> Charlie Sheen is too real <url> major fucking respect for Charlie Sheen."
176,3,0,3,0,1,"""<user> Wish I had a bae &<hashtag>

You got all the hoes tho"
177,3,0,3,0,1,"""<user> Fuck twerking bitch can you cook ?"""
178,3,0,3,0,1,"""<user> <user> bitch wtf"" <url>"
179,3,1,2,0,1,"""<user> &<hashtag> ""<user> Shut up zoe"" fight me pussy&<hashtag> for zoe? I'm good, man."" You are good ma'am. Move along now"
180,3,0,3,0,1,"""<user> Lmao fucking snake bitches"" @ em"
181,3,0,3,0,1,"""<user> Big booty hoes everywhere sheesh &<hashtag> damn &<hashtag>"
182,3,0,0,3,2,"""<user> Stay tuned to <user> for an update on the report that <user> 1B <user> will be out <number>-<number> weeks"" <user> <hashtag>"
183,3,0,0,3,2,"""<user> &<hashtag> ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut <url> yes lmfao""<user>"
184,3,0,3,0,1,"""<user> Oregon chokes every year get off the field trash ass program"" RFT"
185,3,0,3,0,1,"""<user> Def not cowboy lol RT <user> Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
186,3,3,0,0,0,"""<user> LMFAO I HATE BLACK PEOPLE <url> This is why there's black people and niggers"
187,3,0,3,0,1,"""<user> <user> <user> How could u do this to me bitch"" potent"
188,3,0,1,2,2,"""<user> <url> a pissed lad past out. I would lick his dirty soles while he slept."
189,3,0,1,2,2,"""<user> <url> love frat boy w/ soft long soles"
190,3,0,1,2,2,"""<user> <url> sexy lad with hot soles and arches."
191,3,0,3,0,1,"""<user> <user> nah fam I gotta cheat with the hoes"" depends on the female i feel"
192,3,0,0,3,2,"""<user> <user> &<hashtag> I got hicks lol"
193,3,1,2,0,1,"""<user> This new twitter is confusing the shit out of me."" Go back to south america bitch"
194,3,0,3,0,1,"""<user> Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
195,3,0,3,0,1,"""<user> but what if he actually does choose the ugly bitch over you? &<hashtag> ass must be fat!"
196,3,0,3,0,1,"""<user> bitch couldn't kill my vibe if ya tried. &<hashtag> dis why i love miley <emoticon>"
197,3,0,3,0,1,"""<user> I'm tired of bitches saying I look mean.. &<hashtag> nigga you big af, wear tight shirts, and grim everybody."
198,6,0,0,6,2,"""<user> <number> birds your grandkids may never see, thanks to climate change <url> <url> <hashtag>"
199,3,0,3,0,1,"""<user> ""Stay beautiful you bitch"""""
200,3,0,3,0,1,"""<user> <hashtag>

r purple. Cele""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
201,3,0,3,0,1,"""<user> Money getting taller and bitches getting blurry"""
202,3,1,2,0,1,"""<user> I ain't never seen a bitch so obsessed with they nigga&<hashtag> I'm obsessed with mine &<hashtag>"
203,3,0,2,1,1,"""<user> Kobe stay talking trash. But let's not forget <url> <user> I meant to do this one. Smh."
204,3,2,1,0,0,"""<user> ""At least I'm not a nigger"" <url>

Lmfao"
205,3,0,3,0,1,"""<user> People always asking me what I'm mixed with."" She a bad asian bitch lol"
206,3,2,1,0,0,"""<user> <user> Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
207,3,0,1,2,2,"""<user> &<hashtag> Fosters home for imaginary trash&<hashtag> WHOA CHILL""

that show was everything tf"
208,6,0,5,1,1,"""<user> I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
209,3,0,3,0,1,"""<user> &<hashtag> Stop bringing weird niggers into my mentions! <user> <url>"
210,3,0,3,0,1,"""<user> We don't love these hoes &<hashtag>"
211,3,0,3,0,1,"""<user> If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
212,3,0,3,0,1,"""<user> <user> I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
213,3,0,3,0,1,"""<user> Quote this tweet with your favorite animal.""pussy"
214,3,0,3,0,1,"""<user> I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
215,3,0,3,0,1,"""<user> Andrewbryant: Poff has double vision after <number> beers
Poff: ... Double pussy &<hashtag> smh"
216,3,0,3,0,1,"""<user> When bitches TWERK on the computer....

ME: ""In ya &<hashtag> in ya damn &<hashtag>"
217,3,0,3,0,1,"""<user> &<hashtag> &<hashtag> <user> Prince, THIS is art. <url> nobody takin his bitch!"
218,3,0,1,2,2,"""<user> <number>% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
219,3,0,3,0,1,"""<user> These bitches don't care they just play that role."""
220,6,0,6,0,1,"""<user> It took a while for you to find me, but I was hiding In the lime tree.""
<user> dis bitch in da wrong tree bro."
221,6,3,2,1,0,"""<user> Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes <url> ....dudes a fag"
222,3,0,1,2,2,"""<user> <user> inna di ghetto!!!"" You alone lmaoo"
223,3,0,1,2,2,"""<user> &<hashtag> <user> <user> hoes Austin&<hashtag> teach us Austin.""I teach u how to get curved? That's all I know"
224,3,1,2,0,1,"""<user> bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
225,3,0,3,0,1,"""<user> Fat hoes get chose"" lol"
226,3,0,3,0,1,"""<user> <hashtag> well they're hoes,no one expects them to be loyal"
227,3,0,3,0,1,"""<user> <user> <user> ol bitch ass"" <url>"
228,3,1,2,0,1,"""<user> Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmao"
229,3,0,3,0,1,"""<user> Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
230,3,0,3,0,1,"""<user> : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
231,3,1,2,0,1,"""<user> ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
232,3,0,3,0,1,"""<user> @ One of your followers with this &<hashtag> <url> @ somebody, bitch if you don't"
233,3,0,3,0,1,"""<user> If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
234,3,0,3,0,1,"""<user> These catfish hoes thinkin they slick.. But niggas catching on &<hashtag>"
235,3,0,3,0,1,"""<user> Can't worry about a bitch that ain't worried bout me"" <hashtag>"
236,3,0,3,0,1,"""<user> Side hoes are for insecure niggas that can't handle a real one."""
237,3,0,3,0,1,"""<user> &<hashtag> <user> Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &<hashtag>"
238,3,0,3,0,1,"""<user> My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &<hashtag>"
239,3,0,3,0,1,"""<user> i'm hungry but ionn wanna spend my money on food&<hashtag> hoe problems &<hashtag>"
240,6,0,6,0,1,"""<user> Dese hoes be LYIN to all of us nigga"""
241,3,0,3,0,1,"""<user> <url> oh yeah fuck that bitch"
242,3,0,1,2,2,"""<user> Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
243,3,0,1,2,2,"""<user> USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &<hashtag> <url> he's a bitch"
244,3,0,3,0,1,"""<user> Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
245,3,0,1,2,2,"""<user> Chilling &<hashtag> <url> sexy scally lad"
246,3,0,3,0,1,"""<user> I ain't sharing no bitch if you mines you mines &<hashtag>"
247,3,0,3,0,1,"""<user> money only impress the simple broke bitches"""
248,3,0,2,1,1,"""<user> <hashtag> will never be anybody's bitch, they don't let people control or change them."" Rigght"
250,3,0,1,2,2,"""<user> <user> <user> tuku ho idk blah blah blah"" &<hashtag>"
251,3,0,1,2,2,"""<user> <user> <user> I'm not mad cuh hahaha"" suure.. tuku ho ita! &<hashtag>"
252,3,0,3,0,1,"""<user> These hoes is crazy"""
253,3,0,3,0,1,"""<user> You ain't ever gonna be a slice bitch."" Kevin hart. (:"
254,3,0,3,0,1,"""<user> Oomf so fuckin fine tho &<hashtag> dam"" @ her, don't be no bitch."
255,3,1,2,0,1,"""<user> I wonder if the girl that gave head to <number> boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
256,3,0,3,0,1,"""<user> <hashtag>
Yeah bitch, yeah bitch, call me _:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
<user>"
257,3,0,3,0,1,"""<user> Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
258,3,0,3,0,1,"""<user> Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
259,3,1,2,0,1,"""<user> <user> <user> y'all come through the front.""bitch I ain't coming"
260,3,1,2,0,1,"""<user> <user> faggot bitch"" <url>"
261,3,0,3,0,1,"""<user> <user> yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up <user> work <number>-<number>"
262,3,0,1,2,2,"""<user> <url> this scally lad would get it"
263,3,2,1,0,0,"""<user> <hashtag> <url> Halloween was yesterday stupid nigger"
264,3,0,2,1,1,"""<user> Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* <url>"
265,3,0,3,0,1,"""<user> &<hashtag> I love eating pussy lol I never get full lol&<hashtag> I can eat that shit forever lol"" and ever."
266,3,0,3,0,1,"""<user> &<hashtag> ""<user> &<hashtag> No slushes &<hashtag> nasty anyway fam""&<hashtag> hoes taste like meds""&<hashtag>"
267,3,0,2,1,1,"""<user> &<hashtag> No slushes &<hashtag> nasty anyway fam""&<hashtag>"
268,3,1,2,0,1,"""<user> BOBBY BITCH-by <user> be getting me live as fuck"" hell yea i play that hoe before my workout"
269,3,0,3,0,1,"""<user> Yo bitch is Gucci Mane RT <user> : My bitch a stoner &<hashtag> <url>"
270,3,0,3,0,1,"""<user> I can ride your bitch with no handle bars"""
271,3,0,3,0,1,"""<user> And if you ain't a hoe get up out my traphouse"""
272,3,0,0,3,2,"""<user> <number> sad TV character deaths we're still bitter over... <url> <url> stark was the man"
273,3,0,3,0,1,"""<user> These harbor bitches are all ""Party Bus hoes"""" Lol all?"
274,3,0,3,0,1,"""<user> <user> pussy"" love it"
275,3,0,3,0,1,"""<user> Ultraviolence video, its coming you little bitch! <hashtag> Lana Del Rey <url> 

bitchy promo"
276,3,0,3,0,1,"""<user> On my way to fuck your bitch <url>

LMFAO KITTYCOPTER"
277,3,0,0,3,2,"""<user> A smuggler explains how he helped fighters along the ""Jihadi Highway"": <url>"
278,3,0,3,0,1,"""<user> ""<user> Aww their avis look so cute together &<hashtag> <url> &<hashtag> do I gotta get Ike avi on this bitch ?"
279,3,0,3,0,1,"""<user> ""<user> Its simple, dont be a hoe=dont worry about being exposed &<hashtag> fight me""why ?"
280,3,0,3,0,1,"""<user> whys this bitch boosting herself <url>

Her size isn't exactly the most healthy tho"
281,3,0,3,0,1,"""<user> <user> bet not be no bitches! &<hashtag> &<hashtag> Kim bye!!!"
283,3,0,3,0,1,"""<user> Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
284,3,0,3,0,1,"""<user> I'm making marack my girlfriend ."" <user> aye b you pullin hoes just like o taught you"
285,3,1,2,0,1,"""<user> Bruno fag boy"" you love me."
286,3,0,3,0,1,"""<user> &<hashtag> I must be a bitch&<hashtag> you are &<hashtag> sike naw"" This why we always beefing &<hashtag>"
287,3,0,0,3,2,"""<user> Down <number>-<number>, <hashtag> look to rally in the bottom of the 9th."" <hashtag>"
288,3,0,3,0,1,"""<user> &<hashtag> Don't take advantage of a nice person&<hashtag> hoes""@ everyjuan"
289,3,1,2,0,1,"""<user> Happy birthday bitch nigga <user> Thanks pal"
